 ,value
scen1023,0.001
scen1024,0.0004
scen1025,0.0004
scen1026,0.0004
scen1027,0.0004
scen1028,0.0006
scen1029,0.0006
scen1030,0.0006
scen1031,0.0018
scen1032,0.0022
scen1033,0.002
scen1034,0.0012
scen1035,0.002
scen1036,0.0012
scen1037,0.0014
scen1038,0.0014
scen1039,0.0014
scen1040,0.0018
scen1041,0.0008
scen1042,0.0018
scen1043,0.0008
scen1044,0.001
scen1045,0.0022
scen1046,0.001
scen1047,0.001
scen1048,0.0014
scen1049,0.0012
scen1050,0.0012
scen1051,0.0016
scen1052,0.001
scen1053,0.001
scen1054,0.001
scen1055,0.0012
scen1056,0.001
scen1057,0.0014
scen1058,0.0014
scen1059,0.001
scen1060,0.0012
scen1061,0.0008
scen1062,0.0012
scen1063,0.0014
scen1064,0.0006
scen1065,0.001
scen1066,0.001
scen1067,0.0022
scen1068,0.0012
scen1069,0.0006
scen1070,0.0006
scen1071,0.001
scen1072,0.0006
scen1073,0.0012
scen1074,0.0012
scen1075,0.0012
scen1076,0.0008
scen1077,0.0016
scen1078,0.0006
scen1079,0.0004
scen1080,0.0014
scen1081,0.0012
scen1082,0.0008
scen1083,0.0012
scen1084,0.0014
scen1085,0.0014
scen1086,0.0006
scen1087,0.0006
scen1088,0.001
scen1089,0.0006
scen1090,0.0012
scen1091,0.0008
scen1092,0.0006
scen1093,0.0006
scen1094,0.0012
scen1095,0.002
scen1096,0.0016
scen1097,0.001
scen1098,0.0012
scen1099,0.0008
scen1100,0.001
scen1101,0.0008
scen1102,0.0006
scen1103,0.0014
scen1104,0.0008
scen1105,0.0006
scen1106,0.0006
scen1107,0.001
scen1108,0.0006
scen1109,0.0008
scen1110,0.0004
scen1111,0.0012
scen1112,0.0008
scen1113,0.0006
scen1114,0.0006
scen1115,0.0004
scen1116,0.001
scen1117,0.0006
scen1118,0.0004
scen1119,0.0004
scen1120,0.0008
scen1121,0.0006
scen1122,0.0006
scen1123,0.0008
scen1124,0.001
scen1125,0.0006
scen1126,0.0004
scen1127,0.0006
scen1128,0.0002
scen1129,0.0008
scen1130,0.0006
scen1131,0.0004
scen1132,0.0006
scen1133,0.0004
scen1134,0.0004
scen1135,0.0012
scen1136,0.0008
scen1137,0.0006
scen1138,0.0004
scen1139,0.0008
scen1140,0.001
scen1141,0.001
scen1142,0.0004
scen1143,0.0004
scen1144,0.0004
scen1145,0.0004
scen1146,0.0006
scen1147,0.0006
scen1148,0.0006
scen1149,0.0006
scen1150,0.0004
scen1151,0.0004
scen1152,0.0006
scen1153,0.0006
scen1154,0.0006
scen1155,0.0002
scen1156,0.0006
